5.000000000000000000e-01 3.570000000000000284e+01
1.400000000000000000e+01 5.589999999999999858e+01
1.500000000000000000e+01 5.820000000000000284e+01
2.800000000000000000e+01 8.190000000000000568e+01
1.100000000000000000e+01 5.629999999999999716e+01
8.000000000000000000e+00 4.889999999999999858e+01
3.000000000000000000e+00 3.389999999999999858e+01
-4.000000000000000000e+00 2.180000000000000071e+01
6.000000000000000000e+00 4.839999999999999858e+01
1.300000000000000000e+01 6.039999999999999858e+01
2.100000000000000000e+01 6.840000000000000568e+01
